iD	systemName	alternateName	x	y	size	sarnaLink	distance (LY)	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050a	3050b	3050c	3051	3052	3057	3058	3059a	3059b	3059c	3059d	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145	3151	3152
1836	New India		-458.313	47.517	1,1,0	https://www.sarna.net/wiki/New_India	460.770						RW,Timbuktu Province	RW,Timbuktu Province	RW,Erdvynn Province	RW,Erdvynn Province	RW,Erdvynn Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	LA,Periphery March,Venaria Operational Area,Region 2	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2102	Qurayyat		-403.504	225.102	1,1,0	https://www.sarna.net/wiki/Qurayyat	462.046						RW,Finmark Province	RW,Finmark Province	RW,Finmark Province	RW,Finmark Province	RW,Finmark Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	LA,Periphery March,Venaria Operational Area,Region 1	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2120	Rapla		-411.541	83.452	1,1,0	https://www.sarna.net/wiki/Rapla	419.917	U	U	U	U	U	U	U	RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	LA,Periphery March,Venaria Operational Area,Region 2	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2147	Revivim		-403.306	18.309	1,1,0	https://www.sarna.net/wiki/Revivim	403.721						LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	LA,Periphery March,Venaria Operational Area,Region 3	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Buena Archonette	LA,Alarion Province,Buena Archonette	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2234	Sapienza		-418.479	145.228	1,1,0	https://www.sarna.net/wiki/Sapienza	442.963	U	U	U	U	U	U	U	RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	FCL,Periphery March,Venaria Operational Area,Region 1	LA,Periphery March,Venaria Operational Area,Region 1	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater,Kaumberg Archonette	LA,Alarion Province,Timbuktu Theater,Kaumberg Archonette	LA,Timbuktu Theater,Kaumberg Archonette	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2240	Sarikavak		-425.743	8.291	1,1,0	https://www.sarna.net/wiki/Sarikavak	425.824	U	U	U	U	U	U	U	RW,Erdvynn Province	RW,Erdvynn Province	RW,Erdvynn Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	LA,Periphery March,Venaria Operational Area,Region 3	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Buena Archonette	LA,Alarion Province,Buena Archonette	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2289	Shahr Kord		-431.463	-11.298	1,1,0	https://www.sarna.net/wiki/Shahr_Kord	431.611	U	U	U	U	U	U	U	RW,Erdvynn Province	RW,Erdvynn Province	RW,Erdvynn Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	FCL,Periphery March,Venaria Operational Area,Region 3	LA,Periphery March,Venaria Operational Area,Region 3	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2396	Stanley		-413.821	110.846	1,1,0	https://www.sarna.net/wiki/Stanley	428.409	U	U	U	U	U	U	U	RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	LA,Periphery March,Venaria Operational Area,Region 2	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
2637	Urjala		-417.777	69.492	1,1,0	https://www.sarna.net/wiki/Urjala	423.517						RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	LA,Periphery March,Venaria Operational Area,Region 2	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater	
886	Florida		-426.806	73.885	1,1,0	https://www.sarna.net/wiki/Florida	433.154	U	U	U	U	U	U	U	RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	LA,Periphery March,Venaria Operational Area,Region 2	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater,Minor Capital	
2866	Leximon		-463.228	-207.652	1,1,0	https://www.sarna.net/wiki/Leximon	507.641	U	U	U	U	U	U	U	U	U			LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	MH	MH	MH	MH	MH	MH	MH	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	LL	LL	LL	LL	LL	
2867	Lindassa		-475.101	-216.009	1,1,0	https://www.sarna.net/wiki/Lindassa	521.901	U	U	U	U	U	U	U	U	U			LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	MH	MH	MH	MH	MH	MH	MH	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	LL	LL	LL	LL	LL	
2868	Logan Prime		-484.775	-228.763	1,1,0	https://www.sarna.net/wiki/Logan_Prime	536.040	U	U	U	U	U	U	U	U	U			LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	MH	MH	MH	MH	MH	MH	MH	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	LL	LL	LL	LL	LL	
2869	Lordinax		-469.824	-172.906	1,1,0	https://www.sarna.net/wiki/Lordinax	500.631	U	U	U	U	U	U	U	U	U			LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	MH	MH	MH	MH	MH	MH	MH	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	LL	LL	LL	LL	LL	
2870	Lummatii		-487.193	-205.012	1,1,0	https://www.sarna.net/wiki/Lummatii	528.571	U	U	U	U	U	U	U	U	U			LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	LL	MH	MH	MH	MH	MH	MH	MH	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	MH,Lothian District	LL	LL	LL	LL	LL	
1522	Lothario		-474.391	-185.731	1,1,0	https://www.sarna.net/wiki/Lothario	509.453	U	U	U	U	U	U	U	I	I	I	I	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	MH	MH	MH	MH	MH	MH	MH	MH,Lothian District,Major Capital	MH,Lothian District,Major Capital	MH,Lothian District,Major Capital	MH,Lothian District,Major Capital	MH,Lothian District,Major Capital	MH,Lothian District,Major Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	LL,Faction Capital	
2575	Trasjkis		-434.348	-191.899	1,1,0	https://www.sarna.net/wiki/Trasjkis	474.851	U					IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	MH	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH	
2589	Trondheimal		-424.256	-187.770	1,1,0	https://www.sarna.net/wiki/Trondheimal	463.951	U					I	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	IP	MH	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH,Illyrian District	MH	
2856	Addhara		-443.661	-293.417	1,1,0	https://www.sarna.net/wiki/Addhara	531.910	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
2857	Algenib		-438.602	-379.179	1,1,0	https://www.sarna.net/wiki/Algenib	579.783	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
2860	Baccalieu		-404.744	-334.758	1,1,0	https://www.sarna.net/wiki/Baccalieu	525.243	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
2862	Dersidatz	Blantleff (3025+)	-467.612	-115.768	1,1,0	https://www.sarna.net/wiki/Blantleff	481.729	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	LL	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	MH	MH	CF	CF	I	MH	MH	MH	MH	MH	MH	
2864	Horatius		-439.703	-343.556	1,1,0	https://www.sarna.net/wiki/Horatius	558.005	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
2871	Marius's Tears		-468.505	-357.737	1,1,0	https://www.sarna.net/wiki/Marius's_Tears	589.468	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
2872	Maximillian		-443.069	-126.782	1,1,0	https://www.sarna.net/wiki/Maximillian	460.851	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	MH	MH	CF	CF	I	MH	MH	MH	MH	MH	MH	
2874	New Venice		-470.704	-296.494	1,1,0	https://www.sarna.net/wiki/New_Venice	556.301	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
2876	Pompey		-430.469	-320.684	1,1,0	https://www.sarna.net/wiki/Pompey	536.788	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
3015	Valerius		-452.990	-154.235	1,1,0	https://www.sarna.net/wiki/Valerius	478.527	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	MH	
25	Addasar		-29.439	-516.520	1,1,0	https://www.sarna.net/wiki/Addasar	517.358	U	U	U	U	U	U	U	MOC,Luxen Province	MOC,Luxen Province	MOC,Luxen Province	MOC,Luxen Province	MOC,Luxen Province	MOC,Luxen Province	MOC,Luxen Province	MOC,Luxen Province	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
30	Adhara	Trip (3040+)	-123.314	-468.960	1,1,0	https://www.sarna.net/wiki/Trip	484.902	U	U	U	U	U	U	U	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
31	Adherlwin		-134.304	-418.682	1,1,0	https://www.sarna.net/wiki/Adherlwin	439.696						MOC	MOC	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
36	Afarsin		-216.314	-369.872	1,1,0	https://www.sarna.net/wiki/Afarsin	428.482						MOC	MOC	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
269	Bass		-218.513	-353.602	1,1,0	https://www.sarna.net/wiki/Bass	415.671						MOC	MOC	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
364	Booker		-237.650	-357.776	1,1,0	https://www.sarna.net/wiki/Booker	429.513	U	U	U	U	U	U	U	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
369	Borgan's Rift		-105.063	-412.086	1,1,0	https://www.sarna.net/wiki/Borgan's_Rift	425.268						MOC	MOC	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
397	Brixtana		-91.651	-450.122	1,1,0	https://www.sarna.net/wiki/Brixtana	459.358						MOC	MOC	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
460	Candiear		-203.780	-419.341	1,1,0	https://www.sarna.net/wiki/Candiear	466.233						MOC	MOC	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
494	Cate's Hold		-69.555	-471.669	1,1,0	https://www.sarna.net/wiki/Cate's_Hold	476.770						MOC	MOC	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC,Canopus District	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	MOC	
